Income,Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person under 18,Householder,Hometype,Ethnic,Language
1,female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,no,three,none,own,house,white,english
1,male,married,45 thru 54,college graduate,homemaker,more than ten years,no,five,two,own,house,white,english
1,female,married,25 thru 34,college graduate,professional/managerial,more than ten years,yes,three,one,rent,apartment,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,four to six years,not married,four,two,live with parents/family,house,white,english
1,male,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
0,male,single or never married,18 thru 24,graduated high school,unemployed,seven to ten years,not married,three,one,rent,apartment,white,english
1,male,divorced or separated,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,one,none,rent,apartment,white,english
0,male,married,55 thru 64,graduated high school,retired,more than ten years,no,three,none,rent,apartment,white,english
0,male,married,65 and over,1 to 3 years of college,retired,seven to ten years,no,two,none,rent,apartment,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,unemployed,more than ten years,not married,one,none,rent,apartment,white,english
0,female,living together or not married,18 thru 24,graduated high school,sales worker,more than ten years,not married,two,none,own,house,white,english
1,female,married,25 thru 34,grad study,student or hs or college,one to three years,yes,four,two,own,house,white,english
1,female,married,45 thru 54,graduated high school,homemaker,more than ten years,no,four,none,rent,house,white,english
0,male,widowed,55 thru 64,graduated high school,retired,more than ten years,not married,one,none,own,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,yes,two,two,own,house,white,english
0,female,divorced or separated,25 thru 34,graduated high school,sales worker,one to three years,not married,two,one,rent,apartment,white,english
1,female,married,45 thru 54,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,female,married,45 thru 54,graduated high school,homemaker,less than one year,no,two,none,rent,apartment,white,english
1,male,single or never married,14 thru 17,grades 9 to 11,unemployed,more than ten years,not married,four,two,live with parents/family,house,white,english
0,male,divorced or separated,35 thru 44,grades 9 to 11,factory worker/laborer/driver,seven to ten years,not married,two,none,rent,apartment,white,english
1,female,married,35 thru 44,1 to 3 years of college,sales worker,more than ten years,no,five,three,own,house,hispanic,english
1,male,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,no,five,three,own,house,white,english
0,female,divorced or separated,45 thru 54,1 to 3 years of college,sales worker,four to six years,not married,three,none,rent,other,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,white,english
1,male,married,25 thru 34,college graduate,professional/managerial,more than ten years,yes,three,one,rent,apartment,white,english
1,male,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english
1,male,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,three,one,own,house,white,english
1,male,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,three,one,own,house,white,english
0,female,divorced or separated,65 and over,graduated high school,retired,more than ten years,not married,one,none,own,other,white,english
1,female,divorced or separated,35 thru 44,college graduate,professional/managerial,seven to ten years,not married,five,three,own,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,professional/managerial,seven to ten years,yes,four,two,rent,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,three,one,live with parents/family,house,white,english
