title,genres,budget,language,duration,year,vote_count,score
Play It to the Bone,1,24000000,## INCONSISTENCY ## ,124,1999,53,5.7
Harry Potter and the Prisoner of Azkaban,0,130000000,## INCONSISTENCY ## ,141,2004,5877,7.7
Forget Me Not,0,0,## INCONSISTENCY ## ,103,2009,66,5.0
Texas Rangers,0,0,## INCONSISTENCY ## ,110,2001,19,5.4
Braveheart,0,72000000,English,178,1995,736638,8.4
The Mist,0,18000000,English,126,2007,220475,7.2
Freeway,1,3000000,## INCONSISTENCY ## ,110,1996,95,6.5
Marvin's Room,0,23000000,English,98,1996,20163,6.7
Reno 911!: Miami,1,10000000,English,84,2007,23928,5.9
VeggieTales: The Pirates Who Don't Do Anything,1,0,## INCONSISTENCY ## ,85,2008,25,5.9
Let's Be Cops,1,17000000,## INCONSISTENCY ## ,104,2014,1219,6.4
My Soul to Take,0,25000000,## INCONSISTENCY ## ,107,2010,147,5.2
Gremlins 2: The New Batch,1,50000000,English,106,1990,68428,6.3
Henry V,0,9000000,English,137,1989,23441,7.7
Elizabeth,0,30000000,## INCONSISTENCY ## ,124,1998,334,7.1
The Green Inferno,0,5000000,## INCONSISTENCY ## ,100,2014,349,5.0
I Spit on Your Grave,0,2000000,English,105,2010,56402,6.3
Thirteen Days,0,80000000,English,145,2000,45231,7.3
The Fall of the Roman Empire,0,19000000,## INCONSISTENCY ## ,188,1964,33,6.0
Easy A,1,8000000,## INCONSISTENCY ## ,92,2010,2210,6.7
21,0,35000000,## INCONSISTENCY ## ,123,2008,1375,6.5
Woo,1,13000000,## INCONSISTENCY ## ,84,1998,10,5.5
Glory,0,18000000,English,122,1989,101888,7.9
Phantasm II,0,3000000,English,97,1988,9502,6.5
The Little Prince,0,64000000,## INCONSISTENCY ## ,92,2015,756,7.6
Trekkies,0,375000,English,86,1997,4407,7.0
Highlander: The Final Dimension,0,26000000,English,99,1994,16194,4.3
Silverado,0,26000000,## INCONSISTENCY ## ,127,1985,146,7.1
The Muse,1,0,## INCONSISTENCY ## ,97,1999,31,5.3
Fever Pitch,1,30000000,English,104,2005,36223,6.2
Pain & Gain,0,25000000,## INCONSISTENCY ## ,130,2013,1573,6.1
Edward Scissorhands,0,20000000,English,105,1990,357581,7.9
In the Bedroom,0,1700000,## INCONSISTENCY ## ,130,2001,89,6.4
Travelers and Magicians,0,1800000,Dzongkha,108,2003,1747,7.5
Sorcerer,0,12000000,English,92,1977,9513,7.7
Blow Out,0,18000000,## INCONSISTENCY ## ,108,1981,236,7.3
12 Angry Men,0,350000,## INCONSISTENCY ## ,96,1957,2078,8.2
Mongol: The Rise of Genghis Khan,0,18000000,## INCONSISTENCY ## ,120,2007,158,6.5
Black Swan,0,13000000,## INCONSISTENCY ## ,108,2010,4430,7.3
Darkness,0,10600000,English,103,2002,16747,5.4
Hidalgo,0,100000000,## INCONSISTENCY ## ,136,2004,318,6.5
Layer Cake,0,4000000,English,105,2004,134070,7.4
The Last Castle,0,72000000,## INCONSISTENCY ## ,131,2001,285,7.0
Bowling for Columbine,0,4000000,## INCONSISTENCY ## ,120,2002,453,7.3
The American President,1,62000000,## INCONSISTENCY ## ,106,1995,195,6.5
The Touch,0,13000,English,7,2007,118,5.2
